objid,ra,dec,u,g,r,i,z,specobjid,class,redshift,color
1.23765E+18,160.8166374,-0.557673714,17.95812,16.9013,16.52805,16.39926,16.37399,2.68986E+18,STAR,-7.66E-05,yellow
1.23765E+18,160.8202892,-0.52224098,16.344,14.85487,14.29812,14.12055,14.08315,2.88126E+18,STAR,-4.79E-05,yellow
1.23765E+18,160.7014882,-0.445422709,19.34314,18.12056,17.55584,17.19446,16.9961,3.09694E+17,GALAXY,0.08592108,red
1.23765E+18,160.8486802,-0.627079872,17.73398,16.84657,16.57527,16.48237,16.4738,2.88126E+18,STAR,0.000700168,yellow
1.23765E+18,160.93824,-0.423246618,17.37104,15.78487,14.98982,14.58674,14.25872,3.09695E+17,GALAXY,0.03910941,red
1.23765E+18,160.936366,-0.421334413,19.51073,18.05851,17.59638,17.33996,17.29404,3.08514E+17,GALAXY,0.03917867,red
1.23765E+18,160.8619387,-0.422734986,19.44424,18.23033,17.64066,17.2346,17.04825,3.09696E+17,GALAXY,0.1273446,red
1.23765E+18,160.878832,-0.584109529,19.11186,17.90859,17.40774,17.19731,17.05761,3.08516E+17,GALAXY,0.0190457,red
1.23765E+18,160.9913453,-0.507477148,18.6673,16.70426,15.81967,15.40313,15.06115,3.09695E+17,GALAXY,0.05955937,red
1.23765E+18,160.9953137,-0.478531394,19.04517,17.87662,17.49664,17.37287,17.33316,3.09696E+17,STAR,6.1E-05,yellow
1.23765E+18,160.9977374,-0.468998759,17.94459,16.51015,15.8354,15.40969,15.10252,3.08516E+17,GALAXY,0.06012432,red
1.23765E+18,161.0623439,-0.494714915,16.45379,15.02962,14.56318,14.40143,14.359,2.88125E+18,STAR,-4.96E-05,yellow
1.23765E+18,161.0900299,-0.612438382,19.26927,18.24939,17.96535,17.83665,17.80351,2.89251E+18,STAR,0.000899142,yellow
1.23765E+18,161.094801,-0.452049786,17.8271,16.23793,15.67866,15.49427,15.41664,2.88125E+18,STAR,-7.84E-05,yellow
1.23765E+18,161.115243,-0.575633407,17.88776,16.52607,16.03367,15.85057,15.80518,2.68985E+18,STAR,0.000107983,yellow
1.23765E+18,160.9911005,-0.561372535,19.58396,17.64963,16.73063,16.29203,15.94702,3.09692E+17,GALAXY,0.06164807,red
1.23765E+18,160.9981591,-0.588311672,18.1781,16.13568,15.28753,14.89827,14.56479,3.08504E+17,GALAXY,0.06063098,red
1.23765E+18,160.996765,-0.588244892,18.38625,16.39808,15.40492,14.88012,14.50048,3.09693E+17,GALAXY,0.06067357,red
1.23765E+18,161.0643247,-0.484587014,18.77188,17.15955,16.35564,15.94145,15.65799,3.08506E+17,GALAXY,0.0603932,red
1.23765E+18,161.1335288,-0.569857253,16.63374,15.54072,15.18744,15.06259,15.03905,2.88125E+18,STAR,0.000450099,yellow
1.23765E+18,161.1805844,-0.456397413,17.14849,15.83151,15.35753,15.18887,15.12737,2.88125E+18,STAR,0.000161562,yellow
1.23765E+18,161.2107488,-0.433373886,16.23113,15.20485,14.95443,14.8674,14.86301,2.88125E+18,STAR,-0.000111743,yellow
1.23765E+18,161.2265355,-0.470463619,18.56268,17.14623,16.5559,16.29699,16.157,2.88125E+18,STAR,0.000657249,yellow
1.23765E+18,161.1426397,-0.434574053,19.38031,18.07652,17.34212,16.86341,16.50079,3.08504E+17,GALAXY,0.08483262,red
1.23765E+18,161.1642017,-0.434453905,19.05616,17.70945,16.99192,16.54076,16.26619,3.09698E+17,GALAXY,0.08539017,red
1.23765E+18,161.1736817,-0.503545461,18.95158,17.47266,16.70008,16.29777,15.99012,3.09697E+17,GALAXY,0.1161265,red
1.23765E+18,161.0737895,-0.89274034,19.11236,17.92701,17.42347,17.0868,16.83476,3.09681E+17,GALAXY,0.03869415,red
1.23765E+18,161.0244718,-0.962380281,18.86752,17.33773,16.80683,16.55789,16.38996,3.0969E+17,GALAXY,0.02655639,red
1.23765E+18,161.1941229,-1.023623943,18.95785,18.08318,17.78178,17.65689,17.61821,2.88125E+18,STAR,0.00088935,yellow
1.23765E+18,161.238814,-0.840751357,17.80041,16.46003,15.90095,15.66963,15.53772,2.88126E+18,STAR,0.000386423,yellow
1.23765E+18,161.2480303,-0.958166789,18.76266,17.25724,16.68513,16.47563,16.38993,2.88125E+18,STAR,0.00018398,yellow
1.23765E+18,161.2734198,-0.996668901,16.82701,15.30022,14.73089,14.5436,14.44859,2.88125E+18,STAR,3.98E-05,yellow
1.23765E+18,161.3031007,-0.964276286,19.01558,17.72445,17.18152,16.97813,16.85652,2.68984E+18,STAR,0.000365554,yellow
1.23765E+18,161.3076233,-0.922529503,18.6769,17.78154,17.52458,17.42232,17.38025,2.88125E+18,STAR,0.000182587,yellow
1.23765E+18,161.3506918,-0.893119394,18.12173,16.84951,16.38322,16.20272,16.10719,2.68984E+18,STAR,0.00023867,yellow
1.23765E+18,161.4256487,-0.991083327,18.82957,17.93844,17.56125,17.39783,17.33559,2.88125E+18,STAR,0.000356511,yellow
1.23765E+18,161.4407033,-0.974533129,17.56939,16.61339,16.2723,16.13031,16.0821,2.88124E+18,STAR,0.000332482,yellow
1.23765E+18,161.4871696,-0.879257492,19.56237,17.59451,16.7141,16.29138,15.95551,3.09658E+17,GALAXY,0.08621725,red
1.23765E+18,161.5643091,-1.017804433,19.56588,18.63518,18.09855,17.7029,17.48965,3.09656E+17,GALAXY,0.06744873,red
1.23765E+18,161.5783055,-0.856035602,18.45709,17.05875,16.56312,16.35972,16.28534,2.88124E+18,STAR,0.000291299,yellow
1.23765E+18,161.6803789,-0.875843442,18.0872,16.64009,16.17627,15.98626,15.92437,2.68983E+18,STAR,6.27E-05,yellow
1.23765E+18,161.6933527,-0.923690302,18.20489,17.12961,16.79656,16.62952,16.57625,2.88124E+18,STAR,0.000995929,yellow
1.23765E+18,161.6351321,-0.855769711,19.39882,18.3913,17.85607,17.46761,17.32818,3.0966E+17,GALAXY,0.150701,red
1.23765E+18,161.7379245,-1.015841899,17.46669,16.36004,15.87807,15.65679,15.56303,2.88121E+18,STAR,0.000695604,yellow
1.23765E+18,161.7416796,-0.987110454,17.66388,18.01819,18.96769,18.32366,16.18336,4.26286E+18,STAR,5.17E-05,yellow
1.23765E+18,161.7416467,-0.846029366,17.70241,17.84848,18.15799,18.38987,18.71965,2.71236E+18,STAR,5.78E-05,yellow
1.23765E+18,161.7408913,-0.97987371,18.53678,17.96047,17.373,17.21301,17.18247,3.0966E+17,GALAXY,0.03981317,red
1.23765E+18,161.8112567,-1.020950417,19.28844,17.89368,17.29176,17.05897,16.92672,2.68981E+18,STAR,-0.000138961,yellow
1.23765E+18,161.8815501,-0.919919301,17.5803,15.91818,15.3324,15.12888,15.04031,2.68981E+18,STAR,7.93E-05,yellow
1.23765E+18,161.9354758,-0.950524205,17.58302,16.1223,15.61429,15.4367,15.37343,2.88121E+18,STAR,9.74E-05,yellow
1.23765E+18,161.8843346,-0.944497872,18.97204,17.9849,17.66618,17.43481,17.32352,3.09645E+17,GALAXY,0.05151358,red
1.23765E+18,162.047298,-0.840633793,17.07819,15.49603,14.84319,14.54306,14.38931,2.88121E+18,STAR,0.000543499,yellow
1.23765E+18,162.0813465,-0.941748913,19.43337,18.54425,18.21197,18.07626,17.99902,4.31671E+18,STAR,0.000586336,yellow
1.23765E+18,162.098584,-0.914676301,18.30903,17.08338,16.65224,16.48205,16.39475,2.88121E+18,STAR,0.000117847,yellow
1.23765E+18,162.1613267,-1.041705966,16.67229,15.52946,15.16349,15.04075,15.00277,2.8812E+18,STAR,5.17E-05,yellow
1.23765E+18,162.177631,-1.007117476,18.04392,16.98619,16.67233,16.54937,16.49476,2.6898E+18,STAR,0.000264481,yellow
1.23765E+18,162.19974,-1.01466107,18.85257,17.86745,17.55789,17.43459,17.38357,2.6898E+18,STAR,-5.87E-07,yellow
1.23765E+18,162.2248113,-0.987748767,16.86535,15.81168,15.47238,15.32898,15.27367,2.8812E+18,STAR,0.000274919,yellow
1.23765E+18,162.2042136,-0.987362487,17.80165,16.61996,16.1181,15.85237,15.64157,3.09634E+17,GALAXY,0.02614697,red
1.23765E+18,162.289475,-0.908548805,18.66761,16.83642,15.95352,15.51473,15.16474,3.10827E+17,GALAXY,0.03804233,red
1.23765E+18,162.3337182,-1.001236825,18.45831,17.09308,16.55146,16.36101,16.27274,2.8812E+18,STAR,0.00038865,yellow
1.23765E+18,162.3451997,-0.846905435,19.45426,17.49314,16.74405,16.50129,16.34002,2.6898E+18,STAR,0.000164115,yellow
1.23765E+18,162.4100525,-0.974669972,17.57672,16.30313,15.82177,15.6353,15.5685,2.8812E+18,STAR,0.000326733,yellow
1.23765E+18,162.4063775,-0.907118295,18.41814,17.17549,16.63656,16.31784,16.1021,3.10826E+17,GALAXY,0.03836371,red
1.23765E+18,162.4924287,-1.037511669,19.16261,17.45277,16.81324,16.56124,16.44654,2.68979E+18,STAR,7.82E-05,yellow
1.23765E+18,162.588828,-0.87201293,17.37496,16.06552,15.63478,15.48339,15.42321,2.68979E+18,STAR,5.26E-05,yellow
1.23765E+18,162.5862969,-0.873837222,18.81535,16.69037,15.70883,15.31833,14.85697,3.10831E+17,GALAXY,0.1074627,red
1.23765E+18,162.5985101,-0.990873937,18.02848,16.65369,16.06824,15.82721,15.70943,2.68979E+18,STAR,-3.76E-05,yellow
1.23765E+18,162.6110238,-0.890844709,17.33813,15.96866,15.49672,15.33282,15.27834,2.68979E+18,STAR,-4.71E-05,yellow
1.23765E+18,162.5471497,-1.002056509,19.48367,18.1998,17.55522,17.15322,16.93752,3.09624E+17,GALAXY,0.1045614,red
1.23765E+18,162.6673956,-0.900916547,16.52364,15.40187,15.08259,14.97577,14.95088,2.88119E+18,STAR,0.000263051,yellow
1.23765E+18,218.7291721,0.458112049,16.97457,15.7859,15.32505,15.16091,15.08877,3.45759E+17,STAR,-5.7E-06,yellow
1.23765E+18,218.8321711,0.47572999,16.75927,15.62012,15.041,14.71669,14.44965,3.4469E+17,GALAXY,0.02956719,red
1.23765E+18,219.083277,0.576226173,18.70255,17.71797,17.34371,17.17482,17.1185,3.44697E+17,STAR,2.47E-05,yellow
1.23765E+18,219.1969133,0.627944731,19.54733,18.17471,17.46927,17.09822,16.84518,3.45768E+17,GALAXY,0.1097059,red
1.23765E+18,219.1376572,0.432899037,19.20287,16.59277,15.70658,15.25103,14.89744,3.45768E+17,GALAXY,0.07221484,red
1.23765E+18,219.2504009,0.564754111,19.07784,18.06951,17.70663,17.49811,17.31405,6.0354E+17,GALAXY,0.03472417,red
1.23765E+18,219.5617663,0.547663882,19.06822,17.80601,17.33803,17.16516,17.09147,3.45778E+17,STAR,-2.66E-05,yellow
1.23765E+18,219.582247,0.595887057,17.89559,16.71264,16.2921,16.1399,16.07841,3.45778E+17,STAR,7.05E-05,yellow
1.23765E+18,219.7797727,0.508632556,17.27438,16.14879,15.72019,15.48375,15.35073,3.45785E+17,GALAXY,0.03325611,red
1.23765E+18,219.9387246,0.531203465,18.9146,17.67455,16.96098,16.57482,16.29057,3.45791E+17,GALAXY,0.116515,red
1.23765E+18,220.1224112,0.584089432,16.93221,15.56652,14.92086,14.58185,14.3252,3.458E+17,GALAXY,0.03717615,red
1.23765E+18,220.1776293,0.606597158,18.73475,17.79811,17.46425,17.34566,17.29465,4.52852E+18,STAR,0.000255278,yellow
1.23765E+18,220.1815105,0.464743603,19.5796,17.68983,16.74287,16.33313,16.0111,3.45811E+17,GALAXY,0.1092154,red
1.23765E+18,220.2475691,0.561580939,19.33625,17.34765,16.35417,15.91167,15.58279,3.45813E+17,GALAXY,0.1087394,red
1.23765E+18,220.5992691,0.61894204,18.37159,16.28451,15.44592,15.16673,15.01227,3.46868E+17,STAR,-7.05E-05,yellow
1.23765E+18,220.6831889,0.598384718,19.28787,17.52747,16.75908,16.41961,16.23461,3.30349E+18,STAR,-4.11E-06,yellow
1.23765E+18,220.6841228,0.454116001,18.44022,18.02603,17.97474,18.0135,18.12117,3.30348E+18,STAR,-5.16E-05,yellow
1.23765E+18,220.7243306,0.502230386,18.72794,17.20167,16.65129,16.43697,16.32,3.27534E+18,STAR,-0.000133688,yellow
1.23765E+18,220.8054143,0.589285246,19.57003,17.3458,16.40484,16.05693,15.8713,3.30348E+18,STAR,-0.00015097,yellow
1.23765E+18,220.8102039,0.632124422,19.49442,17.99958,17.41921,17.21484,17.10793,3.27533E+18,STAR,-0.000134868,yellow
1.23765E+18,220.9195257,0.513809061,19.03802,17.42171,16.71644,16.41698,16.23746,3.3035E+18,STAR,7.8E-05,yellow
1.23765E+18,221.0417383,0.564546475,18.7746,17.64604,17.22892,17.07624,17.01672,3.45823E+17,STAR,4.98E-05,yellow
1.23765E+18,221.0641256,0.587618415,17.98792,16.4793,15.89139,15.68964,15.57897,3.27534E+18,STAR,-9.23E-05,yellow
1.23765E+18,221.1327369,0.436973652,18.21947,16.94176,16.4855,16.34868,16.28067,3.30351E+18,STAR,9.98E-05,yellow
1.23765E+18,221.1528564,0.451438122,18.72254,17.38212,16.82234,16.65747,16.55055,3.27535E+18,STAR,-1E-05,yellow
1.23765E+18,221.1632802,0.483958452,17.88442,16.96119,16.64287,16.53269,16.48384,3.30351E+18,STAR,3.19E-05,yellow
1.23765E+18,221.2637264,0.526978719,17.00244,15.55892,14.93361,14.58515,14.32871,3.46905E+17,GALAXY,0.02873155,red
1.23765E+18,221.2678582,0.436562846,19.51547,18.58734,18.33786,18.23523,18.24343,3.30351E+18,STAR,0.000255486,yellow
1.23765E+18,221.2777376,0.49473218,19.25605,18.11174,17.34868,16.93481,16.68558,3.46906E+17,GALAXY,0.1098084,red
1.23765E+18,221.3649932,0.454014692,17.52671,16.10266,15.5727,15.35048,15.24569,3.27536E+18,STAR,0.000836224,yellow
1.23765E+18,221.4417135,0.581083659,18.04508,16.81564,16.39389,16.24002,16.18995,3.27535E+18,STAR,0.000249663,yellow
1.23765E+18,221.4984006,0.597512281,17.43719,16.50009,16.13932,16.01473,15.95873,3.27536E+18,STAR,0.000166582,yellow
1.23765E+18,221.5338532,0.623223399,16.26559,15.31763,15.03526,14.92372,14.86764,3.27536E+18,STAR,0.000397916,yellow
1.23765E+18,221.5958569,0.480183884,19.23104,18.20884,17.89136,17.78259,17.75736,3.30352E+18,STAR,0.000249086,yellow
1.23765E+18,221.5173497,0.501690543,19.33756,17.0609,16.05876,15.67662,15.44594,3.30352E+18,STAR,2.57E-05,yellow
1.23765E+18,221.6858026,0.541573251,18.76614,17.47334,16.93288,16.72206,16.60205,3.30352E+18,STAR,-9.47E-05,yellow
1.23765E+18,121.8207518,0.93199037,19.37035,17.34262,16.35286,15.924,15.58903,5.34266E+18,GALAXY,0.1019929,red
1.23765E+18,122.0878999,0.843146891,19.05249,17.03777,16.07633,15.63148,15.31245,5.3424E+18,GALAXY,0.1015328,red
1.23765E+18,122.8639945,0.896150822,18.20631,16.89692,16.46658,16.31574,16.28902,2.31607E+18,STAR,0.00048813,yellow
1.23765E+18,122.9819452,0.96385693,17.63113,16.55926,16.24861,16.14775,16.13221,2.33858E+18,STAR,0.000132041,yellow
1.23765E+18,122.988638,0.973742938,15.99172,14.98865,14.70003,14.64919,14.50626,2.31607E+18,STAR,9.27E-05,yellow
1.23765E+18,122.9356354,0.899085529,19.37706,18.44093,18.24528,18.19469,18.17668,2.33858E+18,STAR,0.000452989,yellow
1.23765E+18,123.0393857,0.930070447,16.73877,15.68268,15.43654,15.38572,15.40208,2.31607E+18,STAR,0.000128369,yellow
1.23765E+18,123.0202645,0.911874556,16.37119,15.28426,15.05225,14.98734,15.0114,2.31607E+18,STAR,5.72E-05,yellow
1.23765E+18,123.0165354,0.848145359,19.52481,18.21796,17.68045,17.46177,17.37293,2.31607E+18,STAR,1.72E-05,yellow
1.23765E+18,123.2678952,0.960993455,16.63293,15.27509,14.61367,14.50841,14.27292,2.31609E+18,STAR,-5.54E-05,yellow
1.23765E+18,123.3488072,0.922523639,16.14538,15.07947,14.84144,14.77282,14.78681,2.31608E+18,STAR,0.000239212,yellow
1.23765E+18,123.4261304,0.881883846,17.84565,16.82412,16.49827,16.38742,16.35545,2.31608E+18,STAR,0.000146998,yellow
1.23765E+18,123.5879603,0.919738666,17.75484,16.59773,16.53687,16.56253,16.61154,2.31608E+18,STAR,-7.06E-06,yellow
1.23765E+18,123.5452677,0.931392114,19.3623,18.1918,17.81977,17.69313,17.61249,1.29381E+18,STAR,0.000235469,yellow
1.23765E+18,123.6127771,0.948787095,18.97095,17.07911,16.13754,15.65789,15.34548,5.39105E+18,GALAXY,0.06836422,red
1.23765E+18,123.6735605,0.861348537,16.48326,15.04494,15.04021,14.29518,14.18345,2.3161E+18,STAR,0.000224322,yellow
1.23765E+18,123.7430415,1.006398633,18.98689,17.09758,16.18773,15.7323,15.46169,5.39105E+18,GALAXY,0.09046602,red
1.23765E+18,110.0700392,1.218734691,19.42591,18.42443,18.00135,17.79079,17.70945,8.38815E+18,STAR,0.000104138,yellow
1.23765E+18,110.2464537,1.364871806,18.58476,17.2945,16.42206,16.27426,15.89856,8.38817E+18,STAR,0.000391139,yellow
1.23765E+18,110.2753731,1.407069681,19.44881,17.06147,16.09691,15.75754,15.58153,8.38817E+18,STAR,0.000127138,yellow
1.23765E+18,110.2730305,1.424806619,19.58554,17.76914,16.91808,16.55439,16.34465,8.38817E+18,STAR,9.15E-05,yellow
1.23765E+18,110.4555313,1.254180245,19.58684,17.73149,16.96642,16.67645,16.4914,8.38818E+18,STAR,0.00034609,yellow
1.23765E+18,110.4698503,1.228434849,19.42571,17.78678,17.11364,16.85967,16.67854,8.38818E+18,STAR,0.000182417,yellow
1.23765E+18,110.7306996,1.289661343,18.36269,16.79013,16.16286,15.91035,15.78032,8.38821E+18,STAR,0.000170339,yellow
1.23765E+18,119.8221026,1.324423012,19.11461,17.11108,16.35578,16.07985,15.94747,8.38927E+18,STAR,0.000258839,yellow
1.23765E+18,119.9972972,1.295618869,19.25602,17.7522,17.28004,17.11725,17.12696,8.38929E+18,STAR,0.000270987,yellow
1.23765E+18,120.124148,1.311372513,18.68312,16.80078,16.12189,15.88605,15.78726,8.3893E+18,STAR,0.000208869,yellow
1.23765E+18,120.194987,1.339231727,19.13375,17.84091,17.37001,17.20419,17.1407,8.3893E+18,STAR,0.000275159,yellow
1.23765E+18,120.2980709,1.359265937,19.41101,17.17151,16.17792,15.78271,15.51502,8.38931E+18,STAR,0.000391232,yellow
1.23765E+18,120.5478185,1.281227451,19.17278,17.30439,16.63581,16.43598,16.35109,8.38932E+18,STAR,-6.64E-05,yellow
1.23765E+18,244.5764969,-1.255263413,19.29697,18.08211,17.20792,16.74347,16.43762,3.89598E+17,GALAXY,0.1272051,red
1.23765E+18,243.907446,0.00239456,18.71962,17.45311,16.88231,16.54723,16.2756,3.89627E+17,GALAXY,0.06540032,red
1.23765E+18,244.1023322,0.002619598,19.35342,18.11187,17.45305,17.10616,16.88711,3.89611E+17,GALAXY,0.07115377,red
1.23765E+18,243.3470265,0.424137063,19.25923,18.84224,18.85939,18.69218,18.76842,3.88598E+17,QSO,0.5894275,none
